code,hex0,hex1,hex2,hex3,hex4,L0,a0,b0,L1,a1,b1,L2,a2,b2,L3,a3,b3,L4,a4,b4,tags,likes
ecfae5ddf6d2cae8bdb0db9c,#ECFAE5,#DDF6D2,#CAE8BD,#B0DB9C,#ECFAE5,0.9690616784644663,-0.022162442950881545,0.022061092982676334,0.9454554408895699,-0.03917884580920239,0.03765233124565315,0.8979370901890692,-0.047467272228655766,0.045367520990904464,0.8450168664735906,-0.06919508422731901,0.0668201628668027,0.9690616784644663,-0.022162442950881545,0.022061092982676334,pastel,6694
7f55b19b7ebdf49babffe1e0,#7F55B1,#9B7EBD,#F49BAB,#FFE1E0,#7F55B1,0.5365948022503291,0.0780121392050106,-0.12033177953271001,0.6440126743717197,0.05563017255773528,-0.07971049282270115,0.7833682118388213,0.10672736395104865,0.015212154439255499,0.9340695231655061,0.0312141338778269,0.011284445465722048,0.5365948022503291,0.0780121392050106,-0.12033177953271001,pastel,4822
bf92646f826abbd8a3f0f1c5,#BF9264,#6F826A,#BBD8A3,#F0F1C5,#BF9264,0.6920983739584927,0.03296082388098154,0.07531363793713458,0.5842790635642426,-0.031968322889532885,0.02754666392537325,0.8473701724294123,-0.05130326024778675,0.05839391151299311,0.946346081370782,-0.01819241543918748,0.05419565047748465,0.6920983739584927,0.03296082388098154,0.07531363793713458,pastel,4008
f7cfd8f4f8d3a6d6d68e7dbe,#F7CFD8,#F4F8D3,#A6D6D6,#8E7DBE,#F7CFD8,0.8910633262849863,0.04630857568600666,0.002259879646759888,0.9666321876614954,-0.018380533636387586,0.0446675219076893,0.8425075291529556,-0.047844973199624885,-0.014037986498685706,0.6306286125227577,0.04196200087684421,-0.08806660671211375,0.8910633262849863,0.04630857568600666,0.002259879646759888,pastel,7191
9fb3df9ec6f3bddde4fff1d5,#9FB3DF,#9EC6F3,#BDDDE4,#FFF1D5,#9FB3DF,0.7669020018210708,-0.004995779638739872,-0.06706663931646539,0.8136596573947794,-0.024102131635616475,-0.073139722296649,0.876472482111519,-0.029675315404884106,-0.018928580335530576,0.9619668514777091,0.003738815089092018,0.039340786668331074,0.7669020018210708,-0.004995779638739872,-0.06706663931646539,pastel,7581
60465273555797866ad29f80,#604652,#735557,#97866A,#D29F80,#604652,0.42639872671302065,0.03921220617297716,-0.00726294594669924,0.4815348692673911,0.03885480729475588,0.009788485763620125,0.6279514752195992,0.007729161629309589,0.044199031682716605,0.7427410119467746,0.04531467992378957,0.05904089291165393,0.42639872671302065,0.03921220617297716,-0.00726294594669924,pastel,4082
b17f59a5b68dc1cfa1ede8dc,#B17F59,#A5B68D,#C1CFA1,#EDE8DC,#B17F59,0.6375442674372351,0.04327623389874469,0.06889079027510375,0.7522489574404461,-0.03525321814618221,0.048241929036124565,0.8319888567214985,-0.033340651222215634,0.05422438749253056,0.9316240221369319,0.0005892867049976935,0.016780955727521363,0.6375442674372351,0.04327623389874469,0.06889079027510375,pastel,3430
adb2d4c7d9ddd5e5d5eef1da,#ADB2D4,#C7D9DD,#D5E5D5,#EEF1DA,#ADB2D4,0.7709264194070244,0.007305993678849765,-0.04832167706325652,0.872985609824452,-0.016981557874840902,-0.01094171443749481,0.9054821831279042,-0.022579638775900968,0.015507433814510252,0.949742507035811,-0.011917675282395734,0.027954275140405493,0.7709264194070244,0.007305993678849765,-0.04832167706325652,pastel,7899
f6f0f0f2e2b1d5c7a3bdb395,#F6F0F0,#F2E2B1,#D5C7A3,#BDB395,#F6F0F0,0.9597867977334552,0.006170530845908129,0.0018086004134123534,0.9137379938038481,-0.0024471170779012397,0.06572209897206849,0.831994629581166,0.0006145082540300884,0.05056264618895645,0.7671632825560388,-0.0013231467816618991,0.04255996074103785,0.9597867977334552,0.006170530845908129,0.0018086004134123534,pastel,4591
c599b6e6b2bafad0c4fff7f3,#C599B6,#E6B2BA,#FAD0C4,#FFF7F3,#C599B6,0.7326866644198302,0.060990323280742054,-0.02310873615790321,0.8128853264473034,0.06068064346149882,0.008672379469457647,0.890360355622647,0.04051272834068076,0.02987472884979747,0.9812253569272595,0.006696189652530382,0.007489311977162738,0.7326866644198302,0.060990323280742054,-0.02310873615790321,pastel,9259
b7b1f2fdb7eaffdcccfbf3b9,#B7B1F2,#FDB7EA,#FFDCCC,#FBF3B9,#B7B1F2,0.7885231775844251,0.02886126148232715,-0.08715789209455171,0.8595816010662483,0.09500773789683015,-0.04098524612804555,0.9194711585417185,0.030997501070292532,0.03205262314859225,0.956560581822616,-0.01436552244156708,0.0731411597939714,0.7885231775844251,0.02886126148232715,-0.08715789209455171,pastel,7923
